127.0.0.1 - - [02/Jun/2020:20:23:49 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:23:51 +0800] "GET /web2/ HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:23:51 +0800] "GET /web2/css/index.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:23:51 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:51 +0800] "GET /web2/ HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:51 +0800] "GET /web2/css/index.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:51 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/jsp/reader.html HTTP/1.1" 200 18243
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/jQuery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/css/reader.css HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/js/reader1.js HTTP/1.1" 200 3451
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/js/reader.js HTTP/1.1" 200 7773
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/images/tushu2.jpg HTTP/1.1" 200 149790
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/images/tushu4.png HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/images/tushu1.jpg HTTP/1.1" 200 190198
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/images/tushu5.png HTTP/1.1" 200 3494
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/images/tushu6.jpg HTTP/1.1" 200 25004
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:54 +0800] "GET /web2/images/tushu3.png HTTP/1.1" 200 3287
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:24:56 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:25:04 +0800] "GET /web2/images/tushu-1.jpg HTTP/1.1" 200 28512
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:25:06 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:25:08 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:25:15 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:25:15 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:07 +0800] "GET /web2/jsp/register.html HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:07 +0800] "GET /web2/css/register.css HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:07 +0800] "GET /web2/js/register.js HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:07 +0800] "GET /web2/jQuery/cookie.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:07 +0800] "GET /web2/images/time.jpg HTTP/1.1" 200 94764
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:07 +0800] "GET /web2/images/users.png HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:07 +0800] "GET /web2/images/user_1.png HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:07 +0800] "GET /web2/images/password.png HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "POST /web2/Register HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "GET /web2/jsp/pipe.html HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "GET /web2/js/pipe.js HTTP/1.1" 200 12266
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "GET /web2/css/pipe.css HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "GET /web2/images/beijing1.jpg HTTP/1.1" 200 55653
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "GET /web2/images/bei1.jpg HTTP/1.1" 200 53602
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "GET /web2/images/xuan.ico HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:26:23 +0800] "POST /web2/Pipe HTTP/1.1" 200 1139810
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:37:12 +0800] "GET /web2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:37:13 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:37:19 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:37:22 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:42:16 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:42:21 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:42:25 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:55:55 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:55:59 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:56:27 +0800] "GET /web2/jsp/password.html HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:56:27 +0800] "GET /web2/js/password.js HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:56:27 +0800] "GET /web2/css/password.css HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [02/Jun/2020:20:56:27 +0800] "GET /web2/images/dan.jpg HTTP/1.1" 200 23428
