0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/jsp/pipe.html HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/jQuery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/jQuery/cookie.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/css/pipe.css HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/js/pipe.js HTTP/1.1" 200 12266
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/images/beijing1.jpg HTTP/1.1" 200 55653
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/images/xuan.ico HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/images/bei1.jpg HTTP/1.1" 200 53602
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/images/users.png HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [19/May/2020:19:38:41 +0800] "POST /web2/Pipe HTTP/1.1" 200 1139810
0:0:0:0:0:0:0:1 - - [19/May/2020:19:40:58 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [19/May/2020:19:41:00 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [19/May/2020:19:41:01 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [19/May/2020:19:41:03 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [19/May/2020:19:41:05 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [19/May/2020:19:41:55 +0800] "GET /web2/ HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/May/2020:19:41:55 +0800] "GET /web2/css/index.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [19/May/2020:19:41:55 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/jsp/reader.html HTTP/1.1" 200 18243
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/css/reader.css HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/js/reader.js HTTP/1.1" 200 7773
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/js/reader1.js HTTP/1.1" 200 3451
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/images/tushu1.jpg HTTP/1.1" 200 190198
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/images/tushu3.png HTTP/1.1" 200 3287
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/images/tushu2.jpg HTTP/1.1" 200 149790
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/images/tushu5.png HTTP/1.1" 200 3494
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/images/tushu4.png HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:02 +0800] "GET /web2/images/tushu6.jpg HTTP/1.1" 200 25004
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:11 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:14 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:20 +0800] "GET /web2/images/tushu-1.jpg HTTP/1.1" 200 28512
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:33 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:43 +0800] "GET /web2/images/tushu-4.jpg HTTP/1.1" 200 58417
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:43 +0800] "GET /web2/images/tushu-5.jpg HTTP/1.1" 200 22132
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:43 +0800] "GET /web2/images/tushu-3.jpg HTTP/1.1" 200 38416
0:0:0:0:0:0:0:1 - - [19/May/2020:19:42:43 +0800] "GET /web2/images/tushu-2.jpg HTTP/1.1" 200 32577
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:05 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/jsp/reader.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/js/reader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/js/reader1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/jQuery/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/css/reader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/images/tushu3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/images/tushu6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/images/tushu2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/images/tushu4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/images/tushu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:17 +0800] "GET /web2/images/tushu5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:18 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:26 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:34 +0800] "GET /web2/images/tushu-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:36 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [19/May/2020:19:43:54 +0800] "POST /web2/Reader HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [19/May/2020:19:44:03 +0800] "POST /web2/Reader HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/May/2020:19:44:06 +0800] "POST /web2/Reader HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/May/2020:19:44:07 +0800] "POST /web2/Reader HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/May/2020:19:44:08 +0800] "POST /web2/Reader HTTP/1.1" 200 5
